route,sourceFile,class,title,titleLength,descriptionLength,canonicalSelfReferencing,h1Count,headingSkips,jsonLd,internalOut,inboundInternalLinks,externalOut,wordCount,inSitemap,sitemapLastmod,sitemapPriority,sitemapChangefreq,gitLastCommitDate,lastmodMatchesGit,inNetlifyAllow,inLlmsTxt,robotsDirective,noindex
/prophet-21-upgrade-reporting,prophet-21-upgrade-reporting.html,indexable,What a Prophet 21 Upgrade Does to Reporting | SiegeStack,56,158,true,1,0,Answer; Article; BreadcrumbList; FAQPage; ListItem; Organization; Person; Question; SoftwareApplication; WebPage; WebSite,19,2,3,2278,true,2026-08-21,0.8,monthly,2026-08-20,false,true,true,"index, follow, max-image-preview:large, max-snippet:-1",false
/prophet-21,prophet-21.html,indexable,Epicor P21 & Kinetic Reporting and Integration | SiegeStack,59,151,true,1,0,Answer; BreadcrumbList; FAQPage; ListItem; Offer; OfferCatalog; Organization; Question; Service,20,26,1,1984,true,2026-08-20,0.9,monthly,2026-08-20,true,true,true,"index, follow, max-image-preview:large, max-snippet:-1",false
/secret,secret.html,served-noindex,Send an encrypted message | SiegeStack,38,129,,2,0,,5,1,0,725,false,,,,2026-08-15,,true,false,"noindex, nofollow, noarchive, nosnippet + noindex, nofollow, noarchive, nosnippet",true
/services/automated-reporting,services/automated-reporting.html,indexable,Automated Reporting | SiegeStack,32,157,true,1,0,BreadcrumbList; ListItem; Organization; Service,18,22,1,241,true,2026-08-20,,,2026-08-20,true,true,true,"index, follow, max-image-preview:large, max-snippet:-1",false
/services/bi-dashboards,services/bi-dashboards.html,indexable,BI Dashboards | SiegeStack,26,154,true,1,0,BreadcrumbList; ListItem; Organization; Service,19,22,1,241,true,2026-08-20,,,2026-08-20,true,true,true,"index, follow, max-image-preview:large, max-snippet:-1",false
/services/erp-integration,services/erp-integration.html,indexable,ERP Integration | SiegeStack,28,155,true,1,0,BreadcrumbList; ListItem; Organization; Service,12,23,1,311,true,2026-08-20,,,2026-08-20,true,true,true,"index, follow, max-image-preview:large, max-snippet:-1",false
/services/etl-data-pipelines,services/etl-data-pipelines.html,indexable,ETL and Data Pipelines | SiegeStack,35,152,true,1,0,BreadcrumbList; ListItem; Organization; Service,19,23,1,289,true,2026-08-20,,,2026-08-20,true,true,true,"index, follow, max-image-preview:large, max-snippet:-1",false
/services/performance-tuning,services/performance-tuning.html,indexable,Performance Tuning | SiegeStack,31,147,true,1,0,BreadcrumbList; ListItem; Organization; Service,19,23,1,242,true,2026-08-20,,,2026-08-20,true,true,true,"index, follow, max-image-preview:large, max-snippet:-1",false
/services/security-access-audit,services/security-access-audit.html,indexable,Security and Access Audit | SiegeStack,38,156,true,1,0,BreadcrumbList; ListItem; Organization; Service,19,22,1,367,true,2026-08-20,,,2026-08-20,true,true,true,"index, follow, max-image-preview:large, max-snippet:-1",false
/sql-server-erp-performance,sql-server-erp-performance.html,indexable,SQL Server Performance for ERP Reporting | SiegeStack,53,157,true,1,0,Answer; BreadcrumbList; FAQPage; ListItem; Offer; OfferCatalog; Organization; Question; Service,19,25,1,1535,true,2026-08-20,0.9,monthly,2026-08-20,true,true,true,"index, follow, max-image-preview:large, max-snippet:-1",false
/working-with-claude-blog,working-with-claude-blog.html,indexable,How to Use Claude AI Effectively | SiegeStack,45,159,true,1,0,Answer; Article; BreadcrumbList; FAQPage; ImageObject; ListItem; Organization; Person; Question,18,6,14,8730,true,2026-08-16,0.9,monthly,2026-08-20,false,true,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",false
/working-with-claude,working-with-claude.html,indexable,Working with Claude: A 14-Slide Case Study | SiegeStack,55,152,true,1,0,BreadcrumbList; ImageObject; ListItem; Organization; Person; PresentationDigitalDocument; Thing,5,1,9,4505,true,2026-08-15,0.8,monthly,2026-08-20,false,true,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",false
